id_0|producto_1|precio_de_venta_2|0_3|cantidad_4|costo_compra_5|provedor_6|grupo_7|multiusos_8|cantidad_productos_por_paquete_9|
0|salsa huichol 355ml|12|012957100078|0|0|casa vargas|1||1|
1|polvo p hornear rexal|12|013602000200|0|8.7|casa vargas|1||1|
2|clamato 473ml|22|014800515329|0|18|marinela|1||1|
3|sardina yavaros|40|017479831011|0|33.5|casa vargas|1||1|
4|orbit fresa 4 past|2.5|02201302|0|0|el toro|1||1|
5|silk almendras946ml|46|025293002920|0|39|danone|1||1|
6|jugo arandano 1Lt|25|031200454560|0|0|danone|1||1|
7|del valle vidrio|16|032239052000|0|12.83|coca cola|1||1|
8|del valle|16|032239052017|0|12.83|coca cola|1||1|
9|delvalle nectar manzana 413ml|16|032239052024|0|0|coca cola|1||1|
10|del valle manzana vidrio|16|032239052147|0|0|coca cola|1||1|
11|sal la fina|17.5|034587030013|0|14.5|casa vargas|1||1|
12|gatorade 350 ml naranja|10|036731103512|0|0|pepsi|1||1|
13|gatorade ch lima|11|036731103536|0|9|pepsi|1||1|
14|gatorade 500ml|19|036731106018|0|18.67|pepsi|1||1|
15|gatorade limonada 600ml|22|036731106025|0|0|pepsi|1||1|
16|gatorade lima 600ml|22|036731106032|0|18.67|pepsi|1||1|
17|gatorade 600ml|22|036731106063|0|0|pepsi|1||1|
18|gatorade 500ml|19|036731135919|0|0|marinela|1||1|
19|gatorade moras 600 ml|22|036731136916|0|16.25|pepsi|1||1|
20|gatorade naranja 1Lt|30|036731321008|0|24.33|pepsi|1||1|
21|gatorade 1L|30|036731324009|0|0|pepsi|1||1|
22|gatorade rojo 1Lt|30|036731326003|0|24.33|marinela|1||1|
23|gatorade uva|23|036731504005|0|0|pepsi|1||1|
24|gatorade 500ml|19|036731506009|0|17|pepsi|1||12|
25|pringles original 124gr|26|038000184932|0||no se sabe|1||1|
26|pringles cebolla40g|16|038000845529|0|12.5|marinela|1||1|
27|pringles 40g|16|038000846731|0|12.5|atoto|1||25|
28|pringles queso 40g|16|038000846755|0|12.5|casa vargas|1||1|
29|skarch 1l|7|040232838699|0|0|red cola|1||1|
30|skarch|7|040232895449|0|0|marinela|1||1|
31|duracel gordas|45|041333000992|0|0|casa vargas|1||1|
32|duracel cuadrada|35|041333001043|0|0|casa vargas|1||1|
33|duracel AAA|20|041333428482|0|0|casa vargas|1||1|
34|pila duracel AA|20|041333666426|0|15.50|salma|1||1|
