id_0|producto_1|precio_de_venta_2|0_3|cantidad_4|costo_compra_5|provedor_6|grupo_7|multiusos_8|cantidad_productos_por_paquete_9|
1|pomada ceresa|5|1|-10000|1|pomada labiual|2°producto||1|
2|ariel jabon 250g|11.5|11.5|-10000|10.35||1°producto||1|
3|chicle orbit 5.6g|2.5|2201302|-10000|1|orbit|1°producto||1|
4|orbit hierbabuena 5.6g|2.5|2261003|-10000|2.5|orbit|1°producto||1|
5|bubulubu  35g|9|7432354|-10000|8.1|ricolino|1°producto||1|
6|leche nesquik chocolate 240ml|9|75000011|-10000|7.2|nesquik|1°producto||7|
7|cloralex 950ml|14|75000615|-10000|12.6||1°producto||1|
8|fabuloso  500ml|16|75001186|-10000|14.4||1°producto||1|
9|marlboro rojo 20|63|75001322|-10000|54|marlboro|1°producto||20|
10|malboro 14 rojos|47|75001339|-10000|0|malboro|1°producto||5|
11|boing mango 250ml|7|75001759|-10000|5.4|del valle|1°producto||1|
12|jugo boing fresa chico 250ml|6|75001766|-10000|5.4|del valle|1°producto||1|
13|jugo boing guayaba chico 250ml|7|75001773|-10000|5.4|del valle|1°producto||1|
14|boing manzana 250ml|7|75001797|-10000|0|boing|1°producto||1|
15|boing uva 250ml|7|75001834|-10000|4.3|nestle|1°producto||1|
16|chocorroles piña 100g|16|75002275|-10000|13.5|marinela|1°producto||1|
17|aceite 123 1lt|32|75002343|-10000|0|123|1°producto||1|
18|aceite maravilla 1lt|25.5|75002756|-10000|0|maravilla|1°producto||1|
19|gerber durazno 113gr|11|75003371|-10000|9.9|nestle|1°producto||1|
20|sabritas adobadas 45g|12|75003388|-10000|10.8||1°producto||1|
21|gerber manzana 113g|11|75003401|-10000|9.9||1°producto||1|
22|gerber ciruela pasa 113gr|11|75003425|-10000|9.9|nestle|1°producto||1|
23|gerber frutas tropicales 113gr|11|75003456|-10000|9.9|nestle|1°producto||1|
24|gerber frutas mixtas 113gr|11|75003463|-10000|9.9|nestle|1°producto||1|
25|gerber mango 113gr|11|75003487|-10000|9.9|nestle|1°producto||1|
26|aceite maravilla 500ml|16.5|75003722|-10000|0|maravilla|1°producto||1|
27|coca vidrio 500ml|10|75004699|-10000|0|coca|1°producto||1|
28|coca-cola 600ml|14|75007614|-10000|11.7|coca|1°producto||24|
29|coca-cola 500ml|12|75009809|-10000|9|coca|1°producto||24|
30|nesquik fresa 240ml|9|75009861|-10000|0|jumex|1°producto||54|
31|indioi 1.2L|35|75019303|-10000|0|indio|1°producto||1|
32|m&m mini4.5|4|75019426|-10000|0|m&m|1°producto||1|
33|clorets 4 pastillas|2|75019907|-10000|1.8||1°producto||1|
34|cigarro capsula mentolada 100 rojo / 20'|63|75021597|-10000|55|marlboro|1°producto||5|
35|chicle canels menta 5g|1|75022952|-10000|0.2|canels|1°producto||1|
36|cremoino 15g|2.5|75024635|-10000|0|cremino|1°producto||1|
37|dannygelatina125g|5.5|75026202|-10000|0|danone|1°producto||1|
38|cigarro dalton 20c/cfilttro|37|75027186|-10000|30|dalton|1°producto||1|
39|modelo 355ml|17|75027285|-10000|0|corona|1°producto||1|
40|bon o bon 15g|9|75027971|-10000|0|BONBON|1°producto||1|
41|chicle manzana verde 5g|1|75030452|-10000|0.2|canels|1°producto||1|
42|cigarro mega ice express 20'|63|75031053|-10000|55|marlboro|1°producto||5|
43|lady speed stick 30ml|11|75036492|-10000|9|speed stick|1°producto||1|
44|speed stick 30ml|11|75036508|-10000|9|speed stick|1°producto||1|
45|serillos clasico|2|75036553|-10000|1|clasicos|1°producto||1|
46|pica fresa gigante 12g|1|75038540|-10000|0.25|vero|1°producto||1|
47|bonafon 250ml|6|75040840|-10000|0|bonafon|1°producto||1|
48|orbit menta5.6g|2|75041731|-10000|0.75|orbit|1°producto||1|
49|orbit polar mint 5.6g|2|75041748|-10000|0.75|orbit|1°producto||1|
50|jumex 125ml manzana|6|75042998|-10000|0|jumex|1°producto||1|
51|jumex 125ml durazno|6|75043001|-10000|0|jumex|1°producto||1|
52|jumex 125ml mango|6|75043025|-10000|0|jumex|1°producto||1|
53|cigarro kreket mint/clavo 20'|63|75044916|-10000|55|marlboro|1°producto||1|
54|chicle trident menta 5.2g|2.5|75045616|-10000|1|trident|1°producto||1|
55|trident|2.5|75045623|-10000|1|trident|1°producto||1|
56|chicle trident morsa 5.2g|2.5|75045685|-10000|1|trident|1°producto||1|
57|cigarro lucky strike 20' original|56|75048129|-10000|50|pall mall|1°producto||1|
58|mi arroz 17g|6|75049232|-10000|0|knor|1°producto||1|
59|mi arroz blanco 12g|5|75049256|-10000|0|knor|1°producto||1|
60|cigarro lucky strike 4 sabores 20'|63|75051785|-10000|58|pall mall|1°producto||1|
61|chicle bubaloo sabor fresa 5.5g|1|75051938|-10000|0.3|bubaloo|1°producto||1|
62|chicle bubaloo menta 5.5g|1|75051952|-10000|0.3|bubaloo|1°producto||1|
63|chicle bubaloo mora azul 5.5g|1|75051969|-10000|0.3|bubaloo|1°producto||1|
64|chicle bubaloo platano 5.5g|1|75051976|-10000|0.3|bubaloo|1°producto||1|
65|chicle bubaloo yerbabuena 5.5g|1|75051983|-10000|0.3|bubaloo|1°producto||1|
66|pall mall tokio 20´|56|75052836|-10000|50|pall mall|1°producto||6|
67|catsup del monte 320gr|13|75053901|-10000|11.7|del monte|1°producto||1|
68|trident fruti mix 5.2g|2.5|75057596|-10000|0|mondelez|1°producto||1|
69|bonafon kids manzana 300ml|9|75061678|-10000|0|bonafon|1°producto||1|
70|bonafon kids mango 300ml|9|75063368|-10000|0|bonafon|1°producto||1|
71|bonafon kids naranja 300ml|9|75063375|-10000|0|bonafon|1°producto||1|
