extra_producto|extra_producto|208.0|producto_extra||208.0|
malboro suelto|malboro suelto|72|malboro||72|
recargas|recargas|50|recargas||50|
cigarro|cigarro_suelto|45|cigarro_suelto||45|
dulceria|dulceria|13.5|dulceria||13.5|
041789001864|maruchan habanero 64g|7|casa vargas||7|
7501064191909|victoria botella 1.2L|6|corona||6|
7501056903190|paleta bubbaloo pi-k fuego 20.5g|4|mondelez||4|
tortillas|tortillas|4|tortillas||4|
781159053849|sabro leche 1L|3|red cola||3|
7501086801046|agua e pura 1l|3|epura||3|
7501055300952|coca retornable 1.25Lts|3|coca cola||3|
7501055310227|coca-cola retornable 2.5lt|3|coca cola||3|
7501056900168|paleta bubaloo mora 16.6g|3|mondelez||3|
7501041941930|sal de uvas 5g|3|medicamento||3|
7501055915705|vaquita vainilla |3|alpura||3|
758104000159|agua bonafont 1.5Lts|3|bonafont||3|
7501031360116|manzanita vidrio 500ml|2|pepsi||2|
744293160361|tonayan 1L|2|casa vargas||2|
7501005107150|atole maizena nuez 47gr|2|maizena||2|
041333666426|pila duracel AA|2|salma||2|
7500810005408|big mix fuego 80gr|2|barcel||2|
7501053673065|viña durazno400ml|2|casa vargas||2|
02201302|orbit fresa 4 past|2|el toro||2|
7502252634116|cigarro link rojo 20'|2|link||2|
7501011143586|cheetos torciditos 52g|2|sabritas||2|
75001322|marlboro rojo 20|2|malboro||2|
7501055328345|coca 400ml|2|coca cola||2|
7622210690074|crack-ups 24g|2|bubalo||2|
041789001918|maruchan pollo|2|casa vargas||2|
7501011104099|rufles queso 52g|2|sabritas||2|
75007614|coca-cola 600ml|2|coca cola||2|
75036553|serillos clasico|2|clasicos||2|
7501055304745|coca-cola 3lt|2|coca cola||2|
7503015060968|manita elastica|2|dulceria||2|
7501441604121|jarritos-piña  2Lts|2|pepsi||2|
7501011137431|sabritas habanero 45g|1|sabritas||1|
070847036043|monster blanco 473ml|1|coca cola||1|
7501011142299|crujitos queso y chile 40g|1|sabritas||1|
7501031302352|lipton limon 600ml|1|pepsi||1|
7501198350432|canada ginger 600ml|1|pepsi||1|
7500464333834|vuala swich|1|marinela||1|
7501017005031|chipotles en adobo 220gr|1|la costeña||1|
